ID,Product Name,Category,Color Shade,CI Generic Name,CAS Number
1,"Titanium Dioxide White","deys",#FFFFFF,"Titanium Dioxide","13463-67-7"
2,"Iron Oxide Red","pigments",#CD5C5C,"Iron Oxide","1309-37-1"
3,"Ultramarine Blue","pigments",#4169E1,"Ultramarine","57455-37-5"
4,"Chrome Yellow","pigments",#FFD700,"Lead Chromate","7758-97-6"
5,"Carbon Black","pigments",#000000,"Carbon Black","1333-86-4"
6,"Phthalocyanine Green","deys",#00FF7F,"Copper Phthalocyanine","1328-53-6"
7,"Cadmium Orange","pigments",#FF8C00,"Cadmium Selenide","1306-24-7"
8,"Quinacridone Violet","colorants",#8B008B,"Quinacridone","1047-16-1"
9,"Zinc Oxide White","additives",#F8F8FF,"Zinc Oxide","1314-13-2"
10,"Prussian Blue","deys",#003153,"Iron Hexacyanoferrate","14038-43-8"
11,"Vermillion Red","pigments",#E34234,"Mercury Sulfide","1344-48-5"
12,"Cobalt Blue","colorants",#0047AB,"Cobalt Aluminate","1345-16-0"
13,"Chromium Green","pigments",#50C878,"Chromium Oxide","1308-38-9"
14,"Alizarin Crimson","deys",#E32636,"Alizarin","72-48-0"
15,"Burnt Sienna","colorants",#A0522D,"Iron Oxide","51274-00-1"
